ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
70,Xentro Mall Santiago,AMRC Holdings Co. Inc.,17.29209,120.44579,NT_nkh9z8BVQDI70N6Yhc3-FD,Here WeGo,Here WeGo,2020-02-17,POINT (120.44579 17.29209),REGION II (CAGAYAN VALLEY),ISABELA,TUMAUINI,San Pedro,PH023137042
71,Xentro Mall Tumauini,AMRC Holdings Co. Inc.,17.27692,121.80886,NT_b5pVxgxampHpcClxVVsWiC,Here WeGo,Here WeGo,2020-02-17,POINT (121.80886 17.27692),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
72,CityMall Tuguegarao,"DoubleDragon Properties, SM Investments Corporation",17.62507,121.718,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),REGION II (CAGAYAN VALLEY),CAGAYAN,APARRI,Centro 2 (Pob.),PH021505006
73,CityMall Aparri,"DoubleDragon Properties, SM Investments Corporation",18.35553,121.63781,NT_aGabTNJqlnThIpt8LFE1.C,Here WeGo,Here WeGo,2020-02-17,POINT (121.63781 18.35553),REGION IV-A (CALABARZON),CAVITE,CITY OF DASMARIÑAS,Sampaloc I,PH042106013
74,Robinsons Place Dasmariñas,Robinsons Land,14.30022,120.95438,NT_x2nHqWqNCnLQB2051X1I6D,Here WeGo,Here WeGo,2020-02-17,POINT (120.95438 14.30022),REGION III (CENTRAL LUZON),TARLAC,ANAO,San Francisco West,PH036901017
75,Sta. Lucia East Grand Mall,Sta. Lucia Realty & Development Inc.,15.72018,120.59829,NT_0b7iJE8i9RREYFQxwo-f9D,Here WeGo,Here WeGo,2020-02-17,POINT (120.59829 15.72018),REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (Capital),Cuta,PH041005020
76,SM City Batangas,SM Prime Holdings,13.75184,121.05674,NT_--7sCn.ENxnESqw2-yCskC,Here WeGo,Here WeGo,2020-02-17,POINT (121.05674 13.75184),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Dasmariñas,PH137602006
77,SM City Dasmariñas,SM Prime Holdings,14.53654,121.0266,NT_wTHN3bnA-aFBW2o5.3kPmB,Here WeGo,Here WeGo,2020-02-17,POINT (121.0266 14.53654),REGION IV-A (CALABARZON),BATANGAS,LIPA CITY,Marauoy,PH041014030
78,SM City Lipa,SM Prime Holdings,13.957,121.16571,NT_79CCzc7JQ81v4nAjhRx4cC,Here WeGo,Here WeGo,2020-02-17,POINT (121.16571 13.957),REGION V (BICOL REGION),CATANDUANES,VIRAC (Capital),Antipolo Del Norte,PH052011001
79,SM City Masinag,SM Prime Holdings,13.55037,124.20517,NT_OObzGmN0q.ti0JpxdJqnOB,Here WeGo,Here WeGo,2020-02-17,POINT (124.20517 13.55037),REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Talima,PH072226028
80,SM City Santa Rosa,SM Prime Holdings,10.26664,124.05234,NT_PPAtvKX27cBABaXSwJO9GC,Here WeGo,Here WeGo,2020-02-17,POINT (124.05234 10.26664),REGION IV-A (CALABARZON),RIZAL,TAYTAY,Dolores (Pob.),PH045813001
81,SM City Taytay,SM Prime Holdings,14.56579,121.14059,NT_DaLIuY1GbKvnHZZdLuHwxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.14059 14.56579),REGION IV-A (CALABARZON),LAGUNA,CABUYAO CITY,Sala,PH043404014
82,Centro Mall Cabuyao,,14.27213,121.12403,NT_YvLJFwNfi.t7mh1atMd3YB,Here WeGo,Here WeGo,2020-02-17,POINT (121.12403 14.27213),REGION IV-A (CALABARZON),CAVITE,INDANG,Alulod,PH042110002
83,Checkpoint Mall,,14.20571,120.88982,NT_CSbYNrHS66KhIdK0.RygsC,Here WeGo,Here WeGo,2020-02-17,POINT (120.88982 14.20571),REGION IV-A (CALABARZON),LAGUNA,LOS BAÑOS,Baybayin (Pob.),PH043411005
84,Olivarez Plaza Los Baños,,14.18188,121.22522,NT_Vs-eTyg1jzKwXBsNJotK9D,Here WeGo,Here WeGo,2020-02-17,POINT (121.22522 14.18188),REGION IV-A (CALABARZON),LAGUNA,CITY OF BIÑAN,San Antonio,PH043403019
85,Pavilion Mall,Ayala Land (operator),14.32854,121.08847,NT_rrj9m1twQEWv5QhPVSM-aC,Here WeGo,Here WeGo,2020-02-17,POINT (121.08847 14.32854),REGION IV-A (CALABARZON),CAVITE,CITY OF GENERAL TRIAS,Sampalucan Pob. (Bgy. 2),PH042108004
86,Robinsons Place GenTrias,Robinsons Land,14.38652,120.88062,NT_fzSG6dY6cMDcwwENSgSmCA,Here WeGo,Here WeGo,2020-02-17,POINT (120.88062 14.38652),REGION IV-A (CALABARZON),CAVITE,IMUS CITY,Tanzang Luma VI,PH042109098
87,Robinsons Place Imus,Robinsons Land,14.40704,120.94058,NT_XrkA3uxc5x6.ettgYXX0FA,Here WeGo,Here WeGo,2020-02-17,POINT (120.94058 14.40704),REGION IV-A (CALABARZON),BATANGAS,LIPA CITY,Marauoy,PH041014030
88,Robinsons Place Lipa,Robinsons Land,13.957,121.16571,NT_79CCzc7JQ81v4nAjhRx4cC,Here WeGo,Here WeGo,2020-02-17,POINT (121.16571 13.957),REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,Mayamot,PH045802004
89,Robinsons Cainta,Robinsons Land,14.62843,121.12395,NT_zC-OdtkrBgEZl6ne82DkpC,Here WeGo,Here WeGo,2020-02-17,POINT (121.12395 14.62843),REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Tagapo,PH043428023
90,Robinsons Sta. Rosa,Robinsons Land,14.31979,121.09648,NT_75ozVJXl8PtYaqK2IeakgC,Here WeGo,Here WeGo,2020-02-17,POINT (121.09648 14.31979),REGION IV-A (CALABARZON),LAGUNA,LOS BAÑOS,Baybayin (Pob.),PH043411005
91,Robinsons Town Mall Los Baños,Robinsons Land,14.18188,121.22522,NT_Vs-eTyg1jzKwXBsNJotK9D,Here WeGo,Here WeGo,2020-02-17,POINT (121.22522 14.18188),REGION IV-A (CALABARZON),RIZAL,ANGONO,San Isidro,PH045801009
92,SM Center Angono,SM Prime Holdings,14.53487,121.15076,NT_IKtNgCCM-Nuj7sFtcX7idB,Here WeGo,Here WeGo,2020-02-17,POINT (121.15076 14.53487),REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Paciano Rizal,PH043405033
93,SM City Calamba,SM Prime Holdings,14.21772,121.13659,NT_qFUKoojXi4cv9R-EzIcVxD,Here WeGo,Here WeGo,2020-02-17,POINT (121.13659 14.21772),REGION IV-A (CALABARZON),QUEZON,LUCENA CITY (Capital),Barangay 3 (Pob.),PH045624006
94,SM City Lucena,SM Prime Holdings,13.93898,121.60965,NT_z.wKR3kBxayoIS.j-MlUTC,Here WeGo,Here WeGo,2020-02-17,POINT (121.60965 13.93898),REGION IV-A (CALABARZON),CAVITE,BACOOR CITY,Molino III,PH042103046
95,SM City Molino,SM Prime Holdings,14.40489,120.97718,NT_WFlOHwCd6uAJnKji0VvfSC,Here WeGo,Here WeGo,2020-02-17,POINT (120.97718 14.40489),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Rosario,PH137403017
96,SM City Rosario,SM Prime Holdings,14.59036,121.08372,NT_x1DH4x4Wx-ktSLRCKX5BIC,Here WeGo,Here WeGo,2020-02-17,POINT (121.08372 14.59036),REGION IV-A (CALABARZON),LAGUNA,SAN PABLO CITY,Santo Niño,PH043424078
97,SM City San Pablo,SM Prime Holdings,14.04425,121.35745,NT_bihJKLTqSp.YYz6gFh57DD,Here WeGo,Here WeGo,2020-02-17,POINT (121.35745 14.04425),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Dasmariñas,PH137602006
