ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
67,Brickstone Mall,,17.6281433,121.7326812,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Pengue (Pengue-Ruyu),PH021529031
68,Buena Park Mall,,14.05224491,120.648957,496067488,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),BATANGAS,NASUGBU,Lumbangan,PH041019029
69,C&B Circle Mall,,14.650231,121.116476,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pinyahan,PH137404082
70,C&S Shopping Complex Tarlac,,15.4900354,120.589652,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Mabini,PH036916046
71,Carmel Mall,,14.2132294,121.1103539,ChIJe4hy_kpjvTMRaJcIiMTnXY4,Google Maps,Google Maps,5/2/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Canlubang,PH043405011
72,Carolina Mall,,14.191624,121.166809,ChIJTfsbIt5jvTMRKcUA_Ze7VAM,Google Maps,Google Maps,5/2/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Bucal,PH043405006
73,Cash & Carry Mall,,14.558579,121.0060794,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pinyahan,PH137404082
74,CB Mall,CBE Estrada Group of Companies,15.9713311,120.5709168,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Lucao,PH015518017
75,Cebu Boardwalk Mall,KMC MAG Group,10.208324,123.7585137,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Pahina Central (Pob.),PH072217050
76,Cedar Peak Mall,,16.4145856,120.5970946,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,San Luis Village,PH141102097
77,Center Point Plaza,New City Commercial Corp.,7.0586901,125.5692805,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pasong Tamo,PH137404080
78,Central Plaza Mall,,14.1200405,122.9472323,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES NORTE,DAET (Capital),Lag-On,PH051603015
