,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
47,222,Ayala Malls Serin,Ayala Land,14.113586499999998,120.95928980000001,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Silang Junction North,PH042119035,14.113586499999998120.95928980000001
48,221,Ayala Malls Solenad,Ayala Land,14.2383172,121.0563718,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Santo Domingo,PH043428020,14.2383172121.0563718
49,669,Ayala Malls South Park,Ayala Land[22],14.4121574,121.0469341,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Ugong,PH137403029,14.4121574121.0469341
50,787,Ayala Malls Southvale,,14.4053584,121.00873020000002,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,Barangay 96,PH133901096,14.4053584121.00873020000002
51,670,Ayala Malls The 30th,Ayala Land[23],14.5806921,121.06474920000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagong Pag-asa,PH137404009,14.5806921121.06474920000001
52,671,Ayala Malls Vertis North,Ayala Land,14.651896300000002,121.03601709999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.651896300000002121.03601709999998
53,772,Baclaran Bagong Milenyo Plaza,,14.534444500000001,120.99624820000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Baclaran,PH137604001,14.534444500000001120.99624820000001
54,773,Baclaran Galleria Shopping Mall,,14.532925800000001,120.9968629,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Baclaran,PH137604001,14.532925800000001120.9968629
55,775,Baclaran Terminal Plaza,,14.532792,120.99694699999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,Barangay 49,PH133901049,14.532792120.99694699999999
56,364,Baguio Ayala Technohub,Ayala Land,16.39834,120.6083034,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Kagitingan,PH141102053,16.39834120.6083034
57,365,Baguio Centermall,,16.4162445,120.59613459999998,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Kabayanihan,PH141102142,16.4162445120.59613459999998
58,245,Balagtas Town Center,AMRC Holdings Co. Inc.,14.820199599999999,120.9043719,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),BULACAN,BALAGTAS (BIGAA),Wawa (Pob.),PH031402011,14.820199599999999120.9043719
59,305,Banilad Town Centre,,10.3408875,123.9129611,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Banilad,PH072217007,10.3408875123.9129611
60,585,Berkeley Square,,14.6630886,121.06835490000002,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Palanan,PH137602015,14.6630886121.06835490000002
61,101,Bichara Mall Naga,,13.622845300000002,123.18407320000001,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Abella,PH051724001,13.622845300000002123.18407320000001
62,690,Blue Bay Walk,,14.5383926,120.9889902,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,Santo Niño,PH137402010,14.5383926120.9889902
63,691,Blue Wave-Marikina,,14.635472699999998,121.10122150000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.635472699999998121.10122150000001
64,306,Bohol Quality Mall,Bohol Quality Corp.,9.6419139,123.85511559999999,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion II,PH071242011,9.6419139123.85511559999999
65,307,Bohol Quality Superstore Tubigon,Bohol Quality Corp.,9.949761,123.9614436,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TUBIGON,Pooc Oriental (Pob.),PH071245027,9.949761123.9614436
66,672,Bonifacio High Street,Ayala Land,14.5508139,121.0504784,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Poblacion,PH137602020,14.5508139121.0504784
67,692,Bonifacio Stop Over Pavilion,,14.554217600000001,121.0460645,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,Marikina Heights (Concepcion),PH137402013,14.554217600000001121.0460645
68,141,Brickstone Mall,,17.6281433,121.73268119999999,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Pengue (Pengue-Ruyu),PH021529031,17.6281433121.73268119999999
69,11,Buena Park Mall,,14.05224491,120.64895700000001,496067488,OpenStreetMap,OpenStreetMap,02/05/2020,REGION IV-A (CALABARZON),BATANGAS,NASUGBU,Lumbangan,PH041019029,14.05224491120.64895700000001
